,yr_season,date
0,2015 Aut,Sep 03
1,2015 Aut,Sep 03
2,2015 Aut,Sep 03
3,2015 Aut,Sep 03
4,2015 Aut,Sep 03
5,2015 Aut,Sep 25
6,2015 Aut,Sep 25
7,2015 Aut,Sep 25
8,2015 Aut,Sep 25
9,2015 Aut,Sep 25
10,2015 Aut,Sep 25
11,1961 Spr,Mar 13
12,1961 Spr,Mar 13
13,1961 Spr,Mar 13
14,1961 Spr,Mar 13
15,1979 Spr,Apr 22
16,1979 Spr,Apr 22
17,1979 Spr,Apr 22
18,1979 Spr,Apr 22
19,1979 Spr,Apr 22
20,1979 Spr,Apr 22
21,1979 Spr,Apr 22
22,1979 Spr,Apr 22
23,1979 Spr,Apr 25
24,1979 Spr,Apr 25
25,1979 Spr,Apr 30
26,1979 Aut,Oct 21
27,1979 Aut,Oct 21
28,1979 Aut,Oct 21
29,1979 Aut,Oct 21
30,1979 Aut,Oct 21
31,1979 Aut,Oct 21
32,1979 Aut,Oct 21
33,1979 Aut,Oct 22
34,1979 Aut,Oct 22
35,1979 Aut,Oct 22
36,1979 Aut,Oct 23
37,1979 Aut,Oct 23
38,1979 Aut,Oct 23
39,1979 Aut,Oct 23
40,1979 Aut,Oct 23
41,1979 Aut,Oct 23
42,1979 Aut,Oct 23
43,1979 Aut,Oct 24
44,1979 Aut,Oct 24
45,1979 Aut,Oct 24
46,1980 Aut,Oct 18
47,1980 Aut,Oct 18
48,1980 Aut,Oct 21
49,1980 Aut,Oct 21
50,1980 Aut,Oct 21
51,1980 Aut,Nov 08
52,1980 Aut,Nov 08
53,1980 Aut,Nov 09
54,1980 Aut,Nov 09
55,1980 Aut,Nov 10
56,1980 Aut,Nov 10
57,1981 Spr,Apr 28
58,1981 Spr,Apr 28
59,1981 Spr,Apr 28
60,1981 Spr,Apr 28
61,1981 Spr,Apr 28
62,1981 Spr,Apr 28
63,1981 Spr,May 01
64,1981 Spr,May 01
65,1981 Spr,May 01
66,1981 Spr,May 01
67,1981 Spr,May 15
68,1981 Spr,May 15
69,1981 Spr,May 15
70,1981 Aut,Oct 05
71,1981 Aut,Oct 05
72,1981 Aut,Oct 05
73,1981 Aut,Oct 12
74,1982 Spr,Apr 20
75,1982 Spr,Apr 20
76,1982 Spr,Apr 20
77,1982 Spr,Apr 20
78,1982 Spr,Apr 22
79,1982 Spr,Apr 22
80,1982 Spr,Apr 22
81,1982 Spr,Apr 22
82,1983 Spr,Apr 21
83,1983 Spr,Apr 21
84,1983 Spr,Apr 26
85,1983 Spr,Apr 26
86,1983 Aut,Oct 22
87,1983 Aut,Oct 22
88,1983 Aut,Oct 22
89,1983 Aut,Oct 22
90,1983 Aut,Oct 23
91,1983 Aut,Oct 25
92,1983 Aut,Oct 25
93,1983 Aut,Oct 25
94,1983 Aut,Oct 25
95,1983 Aut,Oct 25
96,1983 Aut,Oct 26
97,1983 Aut,Oct 27
98,1983 Aut,Oct 27
99,1983 Aut,Oct 27
100,1983 Aut,Nov 05
101,1983 Aut,Nov 05
102,1983 Aut,Nov 05
103,1983 Aut,Nov 05
104,1983 Aut,Nov 05
105,1983 Aut,Nov 06
106,1983 Aut,Nov 07
107,1983 Aut,Nov 07
108,1983 Aut,Nov 08
109,1983 Aut,Nov 08
110,1983 Aut,Nov 09
111,1983 Aut,Nov 09
112,1983 Aut,Nov 09
113,1983 Win,Dec 05
114,1983 Win,Dec 06
115,1983 Win,Dec 06
116,1984 Spr,May 03
117,1985 Spr,Apr 23
118,1985 Spr,Apr 23
119,1985 Spr,Apr 23
120,1985 Spr,Apr 23
121,1985 Spr,Apr 23
122,1985 Spr,Apr 23
123,1985 Spr,May 02
124,1985 Spr,May 02
125,1985 Spr,May 03
126,1985 Spr,May 03
127,1985 Aut,Oct 30
128,1985 Aut,Oct 30
129,1985 Aut,Oct 30
130,1985 Aut,Oct 31
131,1985 Aut,Oct 31
132,1985 Aut,Oct 31
133,1985 Aut,Oct 31
134,1985 Aut,Oct 31
135,1985 Aut,Nov 02
136,1985 Aut,Nov 02
137,1985 Aut,Nov 03
138,1985 Aut,Nov 03
139,1985 Aut,Nov 04
140,1985 Aut,Nov 07
141,1985 Aut,Nov 07
142,1985 Aut,Nov 07
143,1985 Aut,Nov 07
144,1985 Win,Dec 07
145,1985 Win,Dec 07
146,1986 Spr,Apr 15
147,1986 Spr,Apr 15
148,1986 Aut,Oct 11
149,1986 Aut,Oct 16
150,1986 Aut,Oct 18
151,1986 Aut,Oct 18
152,1986 Aut,Oct 18
153,1986 Aut,Oct 19
154,1986 Aut,Oct 22
155,1986 Aut,Oct 22
156,1986 Aut,Oct 22
157,1986 Aut,Oct 26
158,1986 Aut,Oct 26
159,1986 Aut,Oct 26
160,1987 Spr,Apr 17
161,1987 Spr,Apr 17
162,1987 Spr,Apr 17
163,1987 Spr,Apr 17
164,1987 Spr,Apr 17
165,1987 Spr,Apr 17
166,1987 Spr,Apr 17
167,1987 Win,Nov 23
168,1987 Win,Nov 23
169,1987 Win,Nov 26
170,1987 Win,Nov 26
171,1987 Win,Nov 26
172,1988 Aut,Oct 11
173,1988 Aut,Oct 11
174,1988 Aut,Oct 19
175,1988 Aut,Oct 19
176,1988 Aut,Oct 24
177,1988 Aut,Oct 24
178,1988 Aut,Oct 24
179,1988 Win,Dec 04
180,1988 Win,Dec 04
181,1988 Win,Dec 04
182,1988 Win,Dec 04
183,1988 Win,Dec 04
184,1988 Win,Dec 04
185,1988 Win,Dec 04
186,1988 Win,Dec 04
187,1988 Win,Dec 04
188,1988 Win,Dec 06
189,1988 Win,Dec 06
190,1988 Win,Dec 06
191,1988 Win,Dec 06
192,1988 Win,Dec 06
193,1988 Win,Dec 07
194,1988 Win,Dec 08
195,1988 Win,Dec 08
196,1988 Win,Dec 08
197,1988 Win,Dec 16
198,1988 Win,Dec 16
199,1988 Win,Dec 17
200,1989 Aut,Oct 22
201,1989 Aut,Oct 22
202,1989 Aut,Oct 22
203,1989 Aut,Oct 24
204,1989 Aut,Oct 24
205,1989 Aut,Oct 24
206,1989 Aut,Oct 24
207,1989 Aut,Oct 24
208,1989 Aut,Oct 26
209,1989 Aut,Oct 26
210,1989 Aut,Oct 26
211,1989 Aut,Oct 26
212,1989 Aut,Nov 01
213,1989 Aut,Nov 01
214,1989 Aut,Nov 06
215,1989 Aut,Nov 06
216,1989 Aut,Nov 06
217,1989 Aut,Nov 06
218,1989 Aut,Nov 06
219,1989 Aut,Nov 08
220,1989 Aut,Nov 08
221,1989 Aut,Nov 08
222,1990 Spr,Apr 04
223,1990 Spr,Apr 04
224,1990 Spr,Apr 12
225,1990 Spr,Apr 12
226,1990 Aut,Oct 22
227,1990 Aut,Oct 23
228,1990 Aut,Oct 23
229,1990 Aut,Oct 23
230,1990 Aut,Oct 24
231,1990 Aut,Oct 25
232,1990 Aut,Oct 25
233,1990 Aut,Oct 25
234,1990 Aut,Oct 25
235,1990 Aut,Oct 26
236,1990 Aut,Oct 26
237,1990 Aut,Oct 26
238,1990 Aut,Oct 26
239,1990 Win,Dec 02
240,1990 Win,Dec 02
241,1990 Win,Dec 02
242,1990 Win,Dec 04
243,1990 Win,Dec 08
244,1990 Win,Dec 08
245,1990 Win,Dec 21
246,1990 Win,Dec 21
247,1990 Win,Dec 22
248,1990 Win,Dec 22
249,1990 Win,Dec 22
250,1990 Win,Dec 23
251,1990 Win,Dec 23
252,1991 Spr,Apr 04
253,1991 Aut,Oct 12
254,1991 Aut,Oct 12
255,1991 Aut,Oct 12
256,1991 Aut,Oct 13
257,1991 Aut,Oct 13
258,1991 Aut,Oct 14
259,1991 Aut,Oct 14
260,1991 Aut,Oct 17
261,1991 Aut,Oct 17
262,1991 Aut,Oct 25
263,1991 Aut,Oct 25
264,1991 Aut,Oct 25
265,1991 Aut,Oct 25
266,1991 Aut,Oct 25
267,1991 Aut,Nov 03
268,1991 Aut,Nov 03
269,1991 Aut,Nov 03
270,1991 Aut,Nov 04
271,1991 Aut,Nov 04
272,1991 Aut,Nov 04
273,1991 Aut,Nov 09
274,1991 Aut,Nov 09
275,1991 Aut,Nov 09
276,1991 Aut,Nov 09
277,1991 Aut,Nov 09
278,1991 Win,Dec 15
279,1991 Win,Dec 15
280,1991 Win,Dec 15
281,1991 Win,Dec 24
282,1991 Win,Dec 24
283,1991 Win,Dec 24
284,1992 Spr,Apr 10
285,1992 Spr,Apr 10
286,1992 Spr,Apr 19
287,1992 Spr,Apr 19
288,1992 Spr,Apr 19
289,1992 Spr,Apr 19
290,1992 Spr,May 04
291,1992 Spr,May 04
292,1992 Aut,Oct 24
293,1992 Aut,Oct 24
294,1992 Aut,Oct 24
295,1992 Aut,Oct 24
296,1992 Aut,Oct 24
297,1992 Aut,Oct 25
298,1992 Aut,Oct 25
299,1992 Aut,Oct 25
300,1992 Aut,Oct 25
301,1992 Aut,Oct 25
302,1992 Aut,Oct 26
303,1992 Aut,Oct 26
304,1992 Aut,Oct 26
305,1992 Aut,Oct 26
306,1992 Aut,Oct 26
307,1992 Aut,Oct 27
308,1992 Aut,Oct 27
309,1992 Aut,Oct 28
310,1992 Aut,Oct 28
311,1992 Aut,Nov 01
312,1992 Aut,Nov 01
313,1992 Aut,Nov 01
314,1992 Aut,Nov 01
315,1992 Aut,Nov 01
316,1992 Aut,Nov 01
317,1992 Aut,Nov 01
318,1992 Aut,Nov 01
319,1992 Aut,Nov 01
320,1992 Aut,Nov 01
321,1992 Aut,Nov 04
322,1992 Aut,Nov 04
323,1992 Aut,Nov 07
324,1992 Aut,Nov 07
325,1992 Aut,Nov 07
326,1992 Aut,Nov 07
327,1992 Aut,Nov 07
328,1992 Aut,Nov 12
329,1992 Win,Dec 01
330,1992 Win,Dec 03
331,1992 Win,Dec 03
332,1992 Win,Dec 03
333,1992 Win,Dec 03
334,1992 Win,Dec 06
335,1992 Win,Dec 07
336,1992 Win,Dec 07
337,1992 Win,Dec 07
338,1992 Win,Dec 07
339,1992 Win,Dec 07
340,1992 Win,Dec 07
341,1992 Win,Dec 07
342,1992 Win,Dec 07
343,1992 Win,Dec 07
344,1992 Win,Dec 07
345,1992 Win,Dec 09
346,1992 Win,Dec 11
347,1992 Win,Dec 11
348,1992 Win,Dec 11
349,1992 Win,Dec 11
350,1993 Spr,Apr 24
351,1993 Spr,Apr 24
352,1993 Aut,Oct 15
353,1993 Aut,Oct 15
354,1993 Aut,Oct 15
355,1993 Aut,Oct 15
356,1993 Aut,Oct 16
357,1993 Aut,Oct 16
358,1993 Aut,Oct 16
359,1993 Aut,Oct 16
360,1993 Aut,Oct 16
361,1993 Aut,Oct 16
362,1993 Aut,Oct 17
363,1993 Aut,Oct 17
364,1993 Aut,Oct 17
365,1993 Aut,Oct 17
366,1993 Aut,Oct 17
367,1993 Aut,Oct 19
368,1993 Aut,Oct 19
369,1993 Aut,Oct 19
370,1993 Aut,Oct 20
371,1993 Aut,Oct 20
372,1993 Aut,Oct 20
373,1993 Aut,Oct 20
374,1993 Aut,Oct 21
375,1993 Aut,Oct 21
376,1993 Aut,Oct 25
377,1993 Aut,Nov 04
378,1993 Aut,Nov 05
379,1993 Aut,Nov 05
380,1993 Aut,Nov 06
381,1993 Aut,Nov 06
382,1993 Aut,Nov 06
383,1993 Aut,Nov 06
384,1993 Aut,Nov 06
385,1993 Aut,Nov 07
386,1993 Aut,Nov 07
387,1993 Aut,Nov 07
388,1993 Aut,Nov 07
389,1993 Aut,Nov 07
390,1993 Aut,Nov 09
391,1993 Aut,Nov 09
392,1993 Win,Dec 01
393,1993 Win,Dec 01
394,1993 Win,Dec 01
395,1993 Win,Dec 01
396,1993 Win,Dec 06
397,1993 Win,Dec 06
398,1993 Win,Dec 06
399,1993 Win,Dec 06
400,1993 Win,Dec 06
401,1993 Win,Dec 06
402,1993 Win,Dec 06
403,1993 Win,Dec 08
404,1993 Win,Dec 08
405,1994 Spr,Apr 28
406,1994 Spr,Apr 28
407,1994 Spr,Apr 28
408,1994 Spr,Apr 28
409,1994 Aut,Sep 10
410,1994 Aut,Sep 10
411,1994 Aut,Oct 05
412,1994 Aut,Oct 05
413,1994 Aut,Oct 05
414,1994 Aut,Oct 05
415,1994 Aut,Oct 06
416,1994 Aut,Oct 06
417,1994 Aut,Oct 06
418,1994 Aut,Oct 06
419,1994 Aut,Oct 07
420,1994 Aut,Oct 07
421,1994 Aut,Oct 07
422,1994 Aut,Oct 07
423,1994 Aut,Oct 19
424,1994 Aut,Oct 19
425,1994 Aut,Oct 19
426,1994 Aut,Oct 19
427,1994 Aut,Oct 21
428,1994 Aut,Oct 21
429,1994 Aut,Oct 21
430,1994 Aut,Oct 21
431,1994 Aut,Oct 21
432,1994 Aut,Oct 25
433,1994 Aut,Oct 25
434,1994 Aut,Oct 25
435,1994 Aut,Oct 25
436,1994 Aut,Oct 26
437,1994 Aut,Oct 26
438,1994 Aut,Oct 26
439,1994 Aut,Oct 26
440,1994 Aut,Oct 26
441,1994 Aut,Oct 26
442,1994 Aut,Oct 26
443,1994 Aut,Oct 26
444,1994 Aut,Oct 27
445,1994 Aut,Oct 27
446,1994 Aut,Oct 27
447,1994 Aut,Oct 27
448,1994 Aut,Oct 27
449,1994 Aut,Oct 27
450,1994 Aut,Oct 27
451,1994 Aut,Oct 30
452,1994 Aut,Oct 30
453,1994 Aut,Nov 08
454,1994 Aut,Nov 08
455,1994 Aut,Nov 08
456,1994 Aut,Nov 10
457,1994 Aut,Nov 10
458,1994 Aut,Nov 10
459,1994 Win,Jan 14
460,1994 Win,Jan 14
461,1995 Spr,Apr 25
462,1995 Spr,Apr 25
463,1995 Aut,Oct 10
464,1995 Aut,Oct 10
465,1995 Aut,Oct 11
466,1995 Aut,Oct 11
467,1995 Aut,Oct 11
468,1995 Aut,Oct 11
469,1995 Aut,Oct 11
470,1995 Aut,Oct 11
471,1995 Aut,Oct 11
472,1995 Aut,Oct 13
473,1995 Aut,Oct 13
474,1995 Aut,Oct 13
475,1995 Aut,Oct 13
476,1995 Aut,Oct 13
477,1995 Aut,Oct 13
478,1995 Aut,Oct 13
479,1995 Aut,Oct 13
480,1995 Aut,Oct 15
481,1995 Aut,Oct 15
482,1995 Aut,Oct 17
483,1995 Aut,Oct 17
484,1995 Aut,Oct 18
485,1995 Aut,Oct 18
486,1995 Aut,Oct 18
487,1995 Aut,Oct 18
488,1995 Aut,Oct 18
489,1995 Aut,Oct 19
490,1995 Aut,Oct 19
491,1995 Aut,Oct 19
492,1995 Aut,Oct 19
493,1995 Aut,Oct 20
494,1995 Aut,Oct 20
495,1995 Aut,Oct 20
496,1995 Aut,Oct 20
497,1995 Aut,Oct 22
498,1995 Aut,Oct 23
499,1995 Aut,Oct 23
500,1995 Aut,Oct 23
501,1995 Aut,Oct 23
502,1995 Aut,Oct 24
503,1995 Aut,Oct 24
504,1995 Aut,Oct 24
505,1995 Aut,Oct 24
506,1995 Aut,Oct 24
507,1995 Aut,Oct 24
508,1995 Aut,Oct 31
509,1995 Aut,Oct 31
510,1995 Aut,Oct 31
511,1995 Aut,Nov 02
512,1995 Aut,Nov 02
513,1995 Aut,Nov 02
514,1995 Aut,Nov 02
515,1995 Aut,Nov 02
516,1995 Aut,Nov 02
517,1995 Aut,Nov 04
518,1995 Aut,Nov 04
519,1995 Aut,Nov 04
520,1995 Aut,Nov 04
521,1995 Aut,Nov 04
522,1995 Aut,Nov 04
523,1995 Aut,Nov 04
524,1995 Aut,Nov 04
525,1995 Aut,Nov 07
526,1995 Aut,Nov 07
527,1995 Aut,Nov 08
528,1995 Aut,Nov 08
529,1995 Aut,Nov 08
530,1995 Aut,Nov 08
531,1995 Aut,Nov 08
532,1995 Aut,Nov 08
533,1995 Aut,Nov 08
534,1996 Spr,May 04
535,1996 Spr,May 04
536,1996 Aut,Oct 17
537,1996 Aut,Oct 17
538,1996 Aut,Oct 18
539,1996 Aut,Oct 19
540,1996 Aut,Oct 19
541,1996 Aut,Oct 19
542,1996 Aut,Oct 19
543,1996 Aut,Oct 19
544,1996 Aut,Oct 19
545,1996 Aut,Oct 19
546,1996 Aut,Oct 19
547,1996 Aut,Oct 19
548,1996 Aut,Oct 19
549,1996 Aut,Oct 20
550,1996 Aut,Oct 20
551,1996 Aut,Oct 20
552,1996 Aut,Oct 20
553,1996 Aut,Oct 21
554,1996 Aut,Oct 21
555,1996 Aut,Oct 21
556,1996 Aut,Oct 21
557,1996 Aut,Oct 29
558,1996 Aut,Oct 29
559,1996 Aut,Oct 29
560,1996 Aut,Oct 29
561,1996 Aut,Oct 29
562,1996 Aut,Oct 29
563,1996 Aut,Oct 29
564,1996 Aut,Oct 29
565,1996 Aut,Oct 29
566,1996 Aut,Oct 29
567,1996 Aut,Oct 29
568,1996 Aut,Nov 01
569,1996 Aut,Nov 01
570,1996 Aut,Nov 01
571,1996 Aut,Nov 01
572,1996 Aut,Nov 01
573,1996 Aut,Nov 04
574,1996 Aut,Nov 04
575,1996 Aut,Nov 04
576,1996 Aut,Nov 04
577,1996 Aut,Nov 04
578,1996 Aut,Nov 04
579,1996 Aut,Nov 05
580,1996 Aut,Nov 05
581,1996 Aut,Nov 05
582,1996 Aut,Nov 06
583,1996 Aut,Nov 06
584,1996 Aut,Nov 06
585,1996 Aut,Nov 06
586,1996 Aut,Nov 06
587,1996 Aut,Nov 06
588,1996 Aut,Nov 07
589,1996 Aut,Nov 07
590,1996 Aut,Nov 08
591,1996 Aut,Nov 08
592,1996 Aut,Nov 09
593,1996 Aut,Nov 09
594,1996 Aut,Nov 09
595,1996 Aut,Nov 09
596,1996 Aut,Nov 09
597,1996 Aut,Nov 09
598,1996 Aut,Nov 09
599,1996 Aut,Nov 10
600,1996 Aut,Nov 10
601,1996 Aut,Nov 11
602,1996 Aut,Nov 11
603,1996 Aut,Nov 11
604,1996 Aut,Nov 11
605,1996 Aut,Nov 12
606,1996 Aut,Nov 12
607,1996 Aut,Nov 15
608,1996 Aut,Nov 15
609,1996 Aut,Nov 15
610,1996 Win,Dec 06
611,1996 Win,Dec 06
612,1996 Win,Dec 06
613,1996 Win,Dec 06
614,1996 Win,Dec 06
615,1996 Win,Dec 07
616,1996 Win,Dec 07
617,1997 Aut,Oct 07
618,1997 Aut,Oct 07
619,1997 Aut,Oct 07
620,1997 Aut,Oct 07
621,1997 Aut,Oct 07
622,1997 Aut,Oct 07
623,1997 Aut,Oct 07
624,1997 Aut,Oct 07
625,1997 Aut,Oct 15
626,1997 Aut,Oct 15
627,1997 Aut,Oct 15
628,1997 Aut,Oct 15
629,1997 Aut,Oct 15
630,1997 Aut,Oct 15
631,1997 Aut,Oct 15
632,1997 Aut,Oct 15
633,1997 Aut,Oct 15
634,1997 Aut,Oct 15
635,1997 Aut,Oct 15
636,1997 Aut,Oct 15
637,1997 Aut,Oct 15
638,1997 Aut,Oct 15
639,1997 Aut,Oct 15
640,1997 Aut,Oct 15
641,1997 Aut,Oct 15
642,1997 Aut,Oct 16
643,1997 Aut,Oct 16
644,1997 Aut,Oct 16
645,1997 Aut,Oct 16
646,1997 Aut,Oct 16
647,1997 Aut,Oct 17
648,1997 Aut,Oct 18
649,1997 Aut,Oct 18
650,1997 Aut,Oct 18
651,1997 Aut,Oct 18
652,1997 Aut,Oct 18
653,1997 Aut,Oct 19
654,1997 Aut,Oct 19
655,1997 Aut,Oct 19
656,1997 Aut,Oct 19
657,1997 Aut,Oct 19
658,1997 Aut,Oct 19
659,1997 Aut,Oct 19
660,1997 Aut,Oct 19
661,1997 Aut,Oct 19
662,1997 Aut,Oct 19
663,1997 Aut,Oct 19
664,1997 Aut,Oct 19
665,1997 Aut,Oct 20
666,1997 Aut,Oct 20
667,1997 Aut,Oct 20
668,1997 Aut,Oct 22
669,1997 Aut,Oct 23
670,1997 Aut,Oct 23
671,1997 Aut,Oct 23
672,1997 Aut,Oct 23
673,1997 Aut,Oct 28
674,1997 Aut,Oct 28
675,1997 Aut,Oct 28
676,1997 Aut,Oct 28
677,1997 Aut,Oct 28
678,1997 Aut,Oct 28
679,1997 Aut,Oct 28
680,1997 Aut,Oct 28
681,1997 Aut,Oct 30
682,1997 Aut,Oct 30
683,1997 Aut,Oct 30
684,1997 Aut,Oct 30
685,1997 Aut,Oct 30
686,1997 Aut,Oct 30
687,1997 Aut,Oct 30
688,1997 Aut,Oct 30
689,1997 Aut,Oct 30
690,1997 Aut,Oct 30
691,1997 Aut,Oct 30
692,1997 Aut,Oct 30
693,1997 Aut,Oct 31
694,1997 Win,Dec 06
695,1997 Win,Dec 06
696,1997 Win,Dec 06
697,1997 Win,Dec 07
698,1997 Win,Dec 07
699,1997 Win,Dec 07
700,1997 Win,Dec 08
701,1997 Win,Dec 08
702,1997 Win,Dec 12
703,1997 Win,Dec 12
704,1997 Win,Dec 12
705,1997 Win,Feb 13
706,1997 Win,Feb 13
707,1998 Aut,Oct 09
708,1998 Aut,Oct 09
709,1998 Aut,Oct 09
710,1998 Aut,Oct 09
711,1998 Aut,Oct 09
712,1998 Aut,Oct 09
713,1998 Aut,Oct 09
714,1998 Aut,Oct 09
715,1998 Aut,Oct 10
716,1998 Aut,Oct 10
717,1998 Aut,Oct 10
718,1998 Aut,Oct 10
719,1998 Aut,Oct 10
720,1998 Aut,Oct 10
721,1998 Aut,Oct 10
722,1998 Aut,Oct 11
723,1998 Aut,Oct 11
724,1998 Aut,Oct 11
725,1998 Aut,Oct 12
726,1998 Aut,Oct 12
727,1998 Aut,Oct 13
728,1998 Aut,Oct 13
729,1998 Aut,Oct 13
730,1998 Aut,Oct 13
731,1998 Aut,Oct 13
732,1998 Aut,Oct 13
733,1998 Aut,Oct 13
734,1998 Aut,Oct 13
735,1998 Aut,Oct 13
736,1998 Aut,Oct 13
737,1998 Aut,Oct 13
738,1998 Aut,Oct 13
739,1998 Aut,Oct 13
740,1998 Aut,Oct 13
741,1998 Aut,Oct 13
742,1998 Aut,Oct 13
743,1998 Aut,Oct 13
744,1998 Aut,Oct 13
745,1998 Aut,Oct 14
746,1998 Aut,Oct 14
747,1998 Aut,Oct 14
748,1998 Aut,Oct 14
749,1998 Aut,Oct 14
750,1998 Aut,Oct 14
751,1998 Aut,Oct 14
752,1998 Aut,Oct 16
753,1998 Aut,Oct 16
754,1998 Aut,Oct 16
755,1998 Aut,Oct 16
756,1998 Aut,Oct 16
757,1998 Aut,Oct 16
758,1998 Aut,Oct 16
759,1998 Aut,Oct 16
760,1998 Aut,Oct 17
761,1998 Aut,Oct 17
762,1998 Aut,Oct 17
763,1998 Aut,Oct 17
764,1998 Aut,Oct 17
765,1998 Aut,Oct 17
766,1998 Aut,Oct 17
767,1998 Aut,Oct 17
768,1998 Aut,Oct 17
769,1998 Aut,Oct 17
770,1998 Aut,Oct 17
771,1998 Aut,Oct 17
772,1998 Aut,Oct 17
773,1998 Aut,Oct 17
774,1998 Aut,Oct 17
775,1998 Aut,Oct 17
776,1998 Aut,Oct 18
777,1998 Aut,Oct 18
778,1998 Aut,Oct 18
779,1998 Aut,Oct 18
780,1998 Aut,Oct 18
781,1998 Aut,Oct 18
782,1998 Aut,Oct 18
783,1998 Aut,Oct 18
784,1998 Aut,Oct 18
785,1998 Aut,Oct 18
786,1998 Aut,Oct 18
787,1998 Aut,Oct 19
788,1998 Aut,Oct 19
789,1998 Aut,Oct 19
790,1998 Aut,Oct 19
791,1998 Aut,Oct 19
792,1998 Aut,Oct 19
793,1998 Aut,Oct 19
794,1998 Aut,Oct 19
795,1998 Aut,Oct 19
796,1998 Aut,Oct 19
797,1998 Aut,Oct 19
798,1998 Aut,Oct 19
799,1998 Aut,Oct 19
800,1998 Aut,Oct 20
801,1998 Aut,Oct 20
802,1998 Aut,Oct 20
803,1998 Aut,Oct 20
804,1998 Aut,Oct 20
805,1998 Aut,Oct 20
806,1998 Aut,Oct 20
807,1998 Aut,Oct 20
808,1998 Aut,Oct 20
809,1998 Aut,Oct 21
810,1998 Aut,Oct 21
811,1998 Aut,Oct 21
812,1998 Aut,Oct 21
813,1998 Aut,Oct 21
814,1998 Aut,Oct 21
815,1998 Aut,Oct 22
816,1998 Aut,Oct 22
817,1998 Aut,Oct 22
818,1998 Aut,Oct 22
819,1998 Aut,Oct 22
820,1998 Aut,Oct 22
821,1998 Aut,Oct 22
822,1998 Aut,Oct 22
823,1998 Aut,Oct 22
824,1998 Aut,Oct 22
825,1998 Aut,Oct 22
826,1998 Aut,Oct 22
827,1998 Aut,Oct 22
828,1998 Aut,Oct 22
829,1998 Aut,Oct 22
830,1998 Aut,Oct 22
831,1998 Aut,Oct 22
832,1998 Aut,Oct 22
833,1998 Aut,Oct 23
834,1998 Aut,Oct 23
835,1998 Aut,Oct 23
836,1998 Aut,Oct 23
837,1998 Aut,Oct 23
838,1998 Aut,Oct 23
839,1998 Aut,Oct 23
840,1998 Aut,Oct 23
841,1998 Aut,Oct 23
842,1998 Aut,Oct 23
843,1998 Aut,Oct 23
844,1998 Aut,Oct 23
845,1998 Aut,Oct 23
846,1998 Aut,Oct 23
847,1998 Aut,Oct 23
848,1998 Aut,Oct 23
849,1998 Aut,Oct 23
850,1998 Aut,Oct 23
851,1998 Aut,Oct 24
852,1998 Aut,Oct 24
853,1998 Aut,Oct 25
854,1998 Aut,Oct 25
855,1998 Aut,Oct 25
856,1998 Aut,Oct 25
857,1998 Aut,Oct 25
858,1998 Aut,Oct 25
859,1998 Aut,Oct 27
860,1998 Aut,Oct 27
861,1998 Aut,Oct 27
862,1998 Aut,Oct 27
863,1998 Aut,Oct 27
864,1998 Aut,Oct 27
865,1998 Aut,Oct 27
866,1998 Aut,Oct 27
867,1998 Aut,Oct 27
868,1998 Aut,Oct 28
869,1998 Aut,Oct 28
870,1998 Aut,Oct 28
871,1998 Aut,Oct 28
872,1998 Aut,Oct 28
873,1998 Aut,Nov 06
874,1998 Aut,Nov 06
875,1998 Aut,Nov 06
876,1998 Aut,Nov 06
877,1998 Aut,Nov 06
878,1998 Aut,Nov 06
879,1998 Aut,Nov 06
880,1998 Aut,Nov 06
881,1998 Aut,Nov 09
882,1998 Aut,Nov 15
883,1998 Win,Dec 05
884,1998 Win,Dec 05
885,1998 Win,Dec 06
886,1998 Win,Dec 06
887,1999 Spr,Apr 24
888,1999 Spr,Apr 24
889,1999 Spr,Apr 24
890,1999 Aut,Oct 24
891,1999 Aut,Oct 24
892,1999 Aut,Oct 24
893,1999 Aut,Oct 24
894,1999 Aut,Oct 24
895,1999 Aut,Oct 24
896,1999 Aut,Oct 24
897,1999 Aut,Oct 24
898,1999 Aut,Oct 24
899,1999 Aut,Oct 24
900,1999 Aut,Oct 24
901,1999 Aut,Oct 25
902,1999 Aut,Oct 25
903,1999 Aut,Oct 25
904,1999 Aut,Oct 25
905,1999 Aut,Oct 25
906,1999 Aut,Oct 25
907,1999 Aut,Oct 29
908,1999 Aut,Oct 29
909,1999 Aut,Oct 30
910,1999 Aut,Oct 30
911,1999 Aut,Nov 01
912,1999 Aut,Nov 01
913,1999 Aut,Nov 02
914,1999 Aut,Nov 02
915,1999 Aut,Nov 02
916,1999 Aut,Nov 02
917,1999 Aut,Nov 02
918,1999 Aut,Nov 02
919,1999 Aut,Nov 02
920,1999 Aut,Nov 02
921,1999 Aut,Nov 03
922,1999 Aut,Nov 03
923,1999 Aut,Nov 03
924,1999 Aut,Nov 03
925,1999 Aut,Nov 03
926,1999 Aut,Nov 03
927,1999 Aut,Nov 04
928,1999 Aut,Nov 04
929,1999 Aut,Nov 05
930,1999 Aut,Nov 05
931,1999 Aut,Nov 05
932,1999 Aut,Nov 05
933,1999 Aut,Nov 05
934,1999 Aut,Nov 06
935,1999 Aut,Nov 06
936,1999 Aut,Nov 06
937,1999 Aut,Nov 06
938,1999 Aut,Nov 06
939,1999 Aut,Nov 06
940,1999 Aut,Nov 06
941,1999 Aut,Nov 06
